Poll	Start	End	Sample	Trump	Cruz	Rubio	Kasich	Carson	Spread
PPP (D)PPP (D)	1/23	1/26	457 RV	--	8	8	--	--	Huckabee +2
ABC News/Wash PostABC/WP	1/20	1/23	RV	--	12	10	--	--	Bush +4
QuinnipiacQuinnipiac	1/15	1/19	813 RV	--	9	8	2	--	Paul +1
NBC News/MaristNBC/Marist	1/12	1/14	385 RV	--	5	7	--	--	Christie +7
FOX NewsFOX News	12/14	12/16	376 RV	--	12	8	--	--	Christie +4
PPP (D)PPP (D)	12/12	12/15	600 RV	--	14	7	--	--	Christie +5
QuinnipiacQuinnipiac	12/3	12/9	1182 RV	--	13	7	2	--	Christie +3
McClatchy/MaristMcClatchy	12/3	12/5	419 RV	--	10	7	--	--	Christie +6
CNN/ORCCNN/ORC	11/18	11/20	RV	--	11	10	--	--	Christie +9
Rasmussen ReportsRasmussen	11/7	11/8	LV	--	12	16	--	--	Christie +2
PPP (D)PPP (D)	10/29	10/31	629 RV	--	15	10	--	--	Tie
QuinnipiacQuinnipiac	9/23	9/29	RV	--	10	12	--	--	Paul +4
PPP (D)PPP (D)	9/25	9/26	743 RV	--	20	10	--	--	Cruz +3
CNN/ORCCNN/ORC	9/6	9/8	452 A	--	7	9	--	--	Christie +4
Rasmussen ReportsRasmussen	8/1	8/2	LV	--	--	18	--	--	Christie +3
PPP (D)PPP (D)	7/19	7/21	500 RV	--	12	10	--	--	Paul +3
McClatchy/MaristMcClatchy	7/15	7/18	357 RV	--	7	12	--	--	Christie +3
PPP (D)PPP (D)	5/6	5/9	806 RV	--	7	16	--	--	Rubio +1
QuinnipiacQuinnipiac	3/26	4/1	712 RV	--	--	19	--	--	Rubio +4
PPP (D)PPP (D)	3/27	3/30	1125 RV	--	--	21	--	--	Rubio +4
PPP (D)PPP (D)	1/31	2/3	508 RV	--	--	22	--	--	Rubio +9
PPP (D)PPP (D)	1/3	1/6	563 RV	--	--	21	--	--	Rubio +6
PPP (D)PPP (D)	11/30	12/2	475 RV	--	--	18	--	--	Rubio +4
