Poll	Start	End	Trump	Carson	Rubio	Fiorina	Bush	Cruz	Kasich	Huckabee	Paul	Christie	Jindal	Santorum	Graham	Pataki	Spread
ABC/Wash PostABC/WP	3/26	3/29	--	6	8	1	21	12	1	8	8	7	1	2	1	--	Bush +8
PPP (D)PPP (D)	3/26	3/31	--	10	6	--	17	16	--	6	10	4	--	--	--	--	Walker +3
CNN/ORCCNN/ORC	3/13	3/15	--	9	7	0	16	4	2	10	12	7	1	1	1	--	Bush +3
McClatchy/MaristMcClatchy	3/1	3/4	--	9	5	2	19	4	--	10	7	6	--	2	1	--	Bush +1
QuinnipiacQuinnipiac	2/26	3/2	--	7	5	--	16	6	1	8	6	8	2	2	1	--	Walker +2
PPP (D)PPP (D)	2/20	2/22	--	18	3	--	17	5	--	10	4	5	--	--	--	--	Walker +7
CNN/ORCCNN/ORC	2/12	2/15	--	9	6	1	12	3	2	17	11	7	1	2	1	--	Huckabee +5
FOX NewsFOX News	1/25	1/27	--	10	5	--	15	4	2	13	13	6	3	2	1	--	Bush +2
CNN/ORCCNN/ORC	12/18	12/21	--	7	5	--	23	4	3	6	6	13	4	2	--	--	Bush +10
ABC/Wash PostABC/WP	12/11	12/14	--	8	7	--	14	8	2	7	10	7	3	3	--	--	Bush +4
McClatchy/MaristMcClatchy	12/3	12/9	--	8	3	1	16	5	3	12	6	10	1	3	--	--	Bush +4
CNN/ORCCNN/ORC	11/21	11/23	--	11	3	--	14	7	3	10	8	9	1	2	--	--	Bush +3
QuinnipiacQuinnipiac	11/18	11/23	--	9	3	--	14	5	2	7	8	11	3	2	--	--	Bush +3
RasmussenRasmussen	11/20	11/21	--	--	--	--	18	--	--	--	13	15	--	--	--	--	Walker +2
ABC/Wash PostABC/WP	10/9	10/12	--	7	8	--	13	4	2	12	12	8	2	4	--	--	Bush +1
McClatchy/MaristMcClatchy	9/24	9/29	--	--	6	--	15	4	--	--	13	12	4	3	--	--	Bush +2
McClatchy/MaristMcClatchy	8/4	8/4	--	--	9	--	13	10	--	--	7	13	2	3	--	--	Tie
FOX NewsFOX News	7/20	7/22	--	--	9	--	12	9	2	--	11	10	4	3	--	--	Tie
CNN/ORCCNN/ORC	7/18	7/20	--	--	6	--	8	8	--	12	12	13	--	3	--	--	Christie +1
QuinnipiacQuinnipiac	6/24	6/30	--	--	6	--	10	8	2	10	11	10	1	2	--	--	Paul +1
CNN/ORCCNN/ORC	5/29	6/1	--	--	8	--	12	9	--	11	14	8	--	4	--	--	Paul +2
CNN/ORCCNN/ORC	5/2	5/4	--	--	6	--	13	7	--	10	13	9	--	2	--	--	Tie
ABC/Wash PostABC/WP	4/24	4/27	--	--	6	--	12	7	1	14	15	9	2	--	--	--	Paul +1
FOX NewsFOX News	4/13	4/15	--	--	8	--	14	7	--	--	14	15	2	5	--	--	Christie +1
McClatchy/MaristMcClatchy	4/7	4/10	--	--	7	--	13	4	0	13	12	12	4	3	--	--	Tie
Reason-RupeReason	3/26	3/30	--	--	6	--	11	6	--	15	11	10	1	--	--	--	Huckabee +4
WPA (R)WPA (R)	3/18	3/20	--	--	6	--	11	9	--	13	13	9	3	3	--	--	Tie
