Poll	Start	End	Trump	Carson	Fiorina	Rubio	Bush	Cruz	Kasich	Huckabee	Christie	Paul	Santorum	Jindal	Graham	Pataki	Spread
FOX NewsFOX News	7/20	7/22	--	--	--	9	12	9	2	--	10	11	3	4	--	--	Tie
CNN/ORCCNN/ORC	7/18	7/20	--	--	--	6	8	8	--	12	13	12	3	--	--	--	Christie +1
QuinnipiacQuinnipiac	6/24	6/30	--	--	--	6	10	8	2	10	10	11	2	1	--	--	Paul +1
CNN/ORCCNN/ORC	5/29	6/1	--	--	--	8	12	9	--	11	8	14	4	--	--	--	Paul +2
CNN/ORCCNN/ORC	5/2	5/4	--	--	--	6	13	7	--	10	9	13	2	--	--	--	Tie
ABC/Wash PostABC/Wash Post	4/24	4/27	--	--	--	6	12	7	1	14	9	15	--	2	--	--	Paul +1
FOX NewsFOX News	4/13	4/15	--	--	--	8	14	7	--	--	15	14	5	2	--	--	Christie +1
McClatchy/MaristMcClatchy/Marist	4/7	4/10	--	--	--	7	13	4	0	13	12	12	3	4	--	--	Tie
Reason-RupeReason-Rupe	3/26	3/30	--	--	--	6	11	6	--	15	10	11	--	1	--	--	Huckabee +4
WPA (R)WPA (R)	3/18	3/20	--	--	--	6	11	9	--	13	9	13	3	3	--	--	Tie
CNN/ORCCNN/ORC	3/7	3/9	--	--	--	5	9	8	--	10	8	16	3	--	--	--	Paul +5
PPP (D)PPP (D)	3/6	3/9	--	--	--	6	15	11	--	18	14	14	--	4	--	--	Huckabee +3
McClatchy/MaristMcClatchy/Marist	2/4	2/9	--	--	--	12	8	5	1	13	13	9	2	--	--	--	Tie
CNN/ORCCNN/ORC	1/31	2/2	--	--	--	10	9	10	--	16	12	14	5	--	--	--	Huckabee +2
PPP (D)PPP (D)	1/23	1/26	--	--	--	8	14	8	--	16	13	11	--	5	--	--	Huckabee +2
ABC/Wash PostABC/Wash Post	1/20	1/23	--	--	--	10	18	12	--	--	14	11	--	--	--	--	Bush +4
QuinnipiacQuinnipiac	1/15	1/19	--	--	--	8	11	9	2	--	12	13	--	3	--	--	Paul +1
NBC/MaristNBC/Marist	1/12	1/14	--	--	--	7	8	5	--	--	16	9	5	3	--	--	Christie +7
FOX NewsFOX News	12/14	12/16	--	--	--	8	12	12	--	--	16	11	3	--	--	--	Christie +4
PPP (D)PPP (D)	12/12	12/15	--	--	--	7	10	14	--	13	19	11	--	3	--	--	Christie +5
QuinnipiacQuinnipiac	12/3	12/9	--	--	--	7	11	13	2	--	17	14	--	3	--	--	Christie +3
McClatchy/MaristMcClatchy/Marist	12/3	12/5	--	--	--	7	10	10	--	--	18	12	4	--	--	--	Christie +6
